0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:48:22 +0530] "GET /Blood_Bank_Management_System/slide2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:48:22 +0530] "GET /Blood_Bank_Management_System/slide1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:48:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:48:50 +0530] "POST /Blood_Bank_Management_System/indexFormAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:48:50 +0530] "GET /Blood_Bank_Management_System/index.jsp?msg=valid HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:03 +0530] "GET /Blood_Bank_Management_System/adminLogin.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:08 +0530] "POST /Blood_Bank_Management_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:08 +0530] "GET /Blood_Bank_Management_System/adminLogin.jsp?msg=invalid HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:21 +0530] "POST /Blood_Bank_Management_System/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:21 +0530] "GET /Blood_Bank_Management_System/home.jsp HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:21 +0530] "GET /Blood_Bank_Management_System/welcome.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:21 +0530] "GET /Blood_Bank_Management_System/admin.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:28 +0530] "GET /Blood_Bank_Management_System/addNewDonor.jsp HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:45 +0530] "GET /Blood_Bank_Management_System/editDeleteList.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:49:54 +0530] "GET /Blood_Bank_Management_System/updateDonor.jsp?id=2 HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:50:06 +0530] "POST /Blood_Bank_Management_System/updateDonorAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:50:06 +0530] "GET /Blood_Bank_Management_System/editDeleteList.jsp?msg=valid HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:50:34 +0530] "GET /Blood_Bank_Management_System/deleteDonor.jsp?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:50:34 +0530] "GET /Blood_Bank_Management_System/editDeleteList.jsp?msg=deleted HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:50:37 +0530] "GET /Blood_Bank_Management_System/addNewDonor.jsp HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:50:46 +0530] "GET /Blood_Bank_Management_System/manageStock.jsp HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:50:58 +0530] "POST /Blood_Bank_Management_System/manageStockAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:50:58 +0530] "GET /Blood_Bank_Management_System/manageStock.jsp?msg.valid HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:51:03 +0530] "GET /Blood_Bank_Management_System/requestForBlood.jsp HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:51:13 +0530] "GET /Blood_Bank_Management_System/requestForBloodDone.jsp?mobilenumber=9253094441 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:51:13 +0530] "GET /Blood_Bank_Management_System/requestForBlood.jsp HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [04/Jun/2022:21:51:15 +0530] "GET /Blood_Bank_Management_System/requestCompleted.jsp HTTP/1.1" 200 2056
